date,id,home_team,away_team,home_score,away_score,tournament,city,country,neutral,goals,victory,defeat,egality
1954-06-16,,France,Yugoslavia,0,1,FIFA World Cup,Lausanne,Switzerland,TRUE,1006,0,0,0
1954-06-17,,Belgium,England,4,4,FIFA World Cup,Basel,Switzerland,TRUE,1014,0,0,0
1954-06-17,,Germany,Turkey,4,1,FIFA World Cup,Berne,Switzerland,TRUE,1019,0,0,0
1954-06-17,,Hungary,South Korea,9,0,FIFA World Cup,Zürich,Switzerland,TRUE,1028,0,0,0
1954-06-17,,Switzerland,Italy,2,1,FIFA World Cup,Lausanne,Switzerland,FALSE,1031,0,0,0
1954-06-19,,Austria,Czechoslovakia,5,0,FIFA World Cup,Zürich,Switzerland,TRUE,1036,0,0,0
1954-06-19,,Brazil,Yugoslavia,1,1,FIFA World Cup,Lausanne,Switzerland,TRUE,1038,0,0,0
1954-06-19,,France,Mexico,3,2,FIFA World Cup,Geneva,Switzerland,TRUE,1043,0,0,0
1954-06-19,,Scotland,Uruguay,0,7,FIFA World Cup,Basel,Switzerland,TRUE,1050,0,0,0
1954-06-20,,Belgium,Italy,1,4,FIFA World Cup,Lugano,Switzerland,TRUE,1055,0,0,0
1954-06-20,,Germany,Hungary,3,8,FIFA World Cup,Basel,Switzerland,TRUE,1066,0,0,0
1954-06-20,,South Korea,Turkey,0,7,FIFA World Cup,Geneva,Switzerland,TRUE,1073,0,0,0
1954-06-20,,Switzerland,England,0,2,FIFA World Cup,Berne,Switzerland,FALSE,1075,0,0,0
1954-06-23,,Germany,Turkey,7,2,FIFA World Cup,Zürich,Switzerland,TRUE,1084,0,0,0
1954-06-23,,Switzerland,Italy,4,1,FIFA World Cup,Basel,Switzerland,FALSE,1089,0,0,0
1954-06-26,,England,Uruguay,2,4,FIFA World Cup,Basel,Switzerland,TRUE,1095,0,0,0
1954-06-26,,Switzerland,Austria,5,7,FIFA World Cup,Lausanne,Switzerland,FALSE,1107,0,0,0
1954-06-27,,Brazil,Hungary,2,4,FIFA World Cup,Berne,Switzerland,TRUE,1113,0,0,0
1954-06-27,,Germany,Yugoslavia,2,0,FIFA World Cup,Geneva,Switzerland,TRUE,1115,0,0,0
1954-06-30,,Austria,Germany,1,6,FIFA World Cup,Basel,Switzerland,TRUE,1122,0,0,0
1954-06-30,,Hungary,Uruguay,4,2,FIFA World Cup,Lausanne,Switzerland,TRUE,1128,0,0,0
1954-07-03,,Austria,Uruguay,3,1,FIFA World Cup,Zürich,Switzerland,TRUE,1132,0,0,0
1954-07-04,,Germany,Hungary,3,2,FIFA World Cup,Berne,Switzerland,TRUE,1137,0,0,0
1954-09-19,,Denmark,Switzerland,1,1,Friendly,Copenhagen,Denmark,FALSE,1139,0,0,0
1954-10-10,,Hungary,Switzerland,3,0,Friendly,Budapest,Hungary,FALSE,1142,0,0,0
1955-05-01,,Switzerland,Austria,2,3,International Cup,Berne,Switzerland,FALSE,1147,0,0,0
1955-05-19,,Netherlands,Switzerland,4,1,Friendly,Rotterdam,Netherlands,FALSE,1152,0,0,0
1955-06-19,,Switzerland,Spain,0,3,Friendly,Geneva,Switzerland,FALSE,1155,0,0,0
1955-06-26,,Yugoslavia,Switzerland,0,0,International Cup,Belgrade,Yugoslavia,FALSE,1155,0,0,0
1955-09-17,,Switzerland,Hungary,4,5,International Cup,Lausanne,Switzerland,FALSE,1164,0,0,0
1955-10-09,,Switzerland,France,1,2,Friendly,Basel,Switzerland,FALSE,1167,0,0,0
1956-03-11,,Belgium,Switzerland,1,3,Friendly,Brussels,Belgium,FALSE,1171,0,0,0
1956-04-11,,Switzerland,Brazil,1,1,Friendly,Zürich,Switzerland,FALSE,1173,0,0,0
1956-05-01,,Saarland,Switzerland,1,1,Friendly,Saarbrücken,Saarland,FALSE,1175,0,0,0
1956-05-10,,Switzerland,Czechoslovakia,1,6,International Cup,Geneva,Switzerland,FALSE,1182,0,0,0
1956-09-15,,Switzerland,Netherlands,2,3,Friendly,Lausanne,Switzerland,FALSE,1187,0,0,0
1956-11-11,,Switzerland,Italy,1,1,International Cup,Berne,Switzerland,FALSE,1189,0,0,0
1956-11-21,,Germany,Switzerland,1,3,Friendly,Frankfurt am Main,Germany,FALSE,1193,0,0,0
1957-03-10,,Spain,Switzerland,2,2,FIFA World Cup qualification,Madrid,Spain,FALSE,1197,0,0,0
1957-04-14,,Austria,Switzerland,4,0,International Cup,Vienna,Austria,FALSE,1201,0,0,0
1957-05-19,,Switzerland,Scotland,1,2,FIFA World Cup qualification,Basel,Switzerland,FALSE,1204,0,0,0
1957-11-06,,Scotland,Switzerland,3,2,FIFA World Cup qualification,Glasgow,Scotland,FALSE,1209,0,0,0
1957-11-24,,Switzerland,Spain,1,4,FIFA World Cup qualification,Lausanne,Switzerland,FALSE,1214,0,0,0
1958-04-16,,France,Switzerland,0,0,Friendly,Paris,France,FALSE,1214,0,0,0
1958-05-07,,Sweden,Switzerland,3,2,Friendly,Helsingborg,Sweden,FALSE,1219,0,0,0
1958-05-26,,Switzerland,Belgium,0,2,Friendly,Zürich,Switzerland,FALSE,1221,0,0,0
1958-09-20,,Czechoslovakia,Switzerland,2,1,International Cup,Bratislava,Czechoslovakia,FALSE,1224,0,0,0
1958-11-02,,Netherlands,Switzerland,2,0,Friendly,Rotterdam,Netherlands,FALSE,1226,0,0,0
1959-04-26,,Switzerland,Yugoslavia,1,5,International Cup,Basel,Switzerland,FALSE,1232,0,0,0
1959-05-16,,Switzerland,Portugal,4,3,Friendly,Geneva,Switzerland,FALSE,1239,0,0,0
1959-10-04,,Switzerland,Germany,0,4,Friendly,Berne,Switzerland,FALSE,1243,0,0,0
1959-10-25,,Hungary,Switzerland,8,0,International Cup,Budapest,Hungary,FALSE,1251,0,0,0
1960-01-06,,Italy,Switzerland,3,0,International Cup,Naples,Italy,FALSE,1254,0,0,0
1960-03-27,,Belgium,Switzerland,3,1,Friendly,Brussels,Belgium,FALSE,1258,0,0,0
1960-04-06,,Switzerland,Chile,4,2,Friendly,Basel,Switzerland,FALSE,1264,0,0,0
1960-05-18,,Switzerland,Netherlands,3,1,Friendly,Zürich,Switzerland,FALSE,1268,0,0,0
1960-10-12,,Switzerland,France,6,2,Friendly,Basel,Switzerland,FALSE,1276,0,0,0
1960-11-20,,Belgium,Switzerland,2,4,FIFA World Cup qualification,Brussels,Belgium,FALSE,1282,0,0,0
1961-05-20,,Switzerland,Belgium,2,1,FIFA World Cup qualification,Lausanne,Switzerland,FALSE,1285,0,0,0
1961-05-28,,Sweden,Switzerland,4,0,FIFA World Cup qualification,Solna,Sweden,FALSE,1289,0,0,0
1961-10-29,,Switzerland,Sweden,3,2,FIFA World Cup qualification,Berne,Switzerland,FALSE,1294,0,0,0
1961-11-12,,Switzerland,Sweden,2,1,FIFA World Cup qualification,Berlin,Germany,TRUE,1297,0,0,0
1962-05-09,,England,Switzerland,3,1,Friendly,London,England,FALSE,1301,0,0,0
1962-05-30,,Chile,Switzerland,3,1,FIFA World Cup,Santiago,Chile,FALSE,1305,0,0,0
1962-06-03,,Germany,Switzerland,2,1,FIFA World Cup,Santiago,Chile,TRUE,1308,0,0,0
1962-06-07,,Italy,Switzerland,3,0,FIFA World Cup,Santiago,Chile,TRUE,1311,0,0,0
1962-11-11,,Netherlands,Switzerland,3,1,UEFA Euro qualification,Amsterdam,Netherlands,FALSE,1315,0,0,0
1962-12-23,,Germany,Switzerland,5,1,Friendly,Karlsruhe,Germany,FALSE,1321,0,0,0
1963-01-13,,Morocco,Switzerland,1,0,Friendly,Casablanca,Morocco,FALSE,1322,0,0,0
1963-03-31,,Switzerland,Netherlands,1,1,UEFA Euro qualification,Berne,Switzerland,FALSE,1324,0,0,0
1963-06-05,,Switzerland,England,1,8,Friendly,Basel,Switzerland,FALSE,1333,0,0,0
1963-11-03,,Switzerland,Norway,0,2,Friendly,Zürich,Switzerland,FALSE,1335,0,0,0
1963-11-11,,France,Switzerland,2,2,Friendly,Paris,France,FALSE,1339,0,0,0
1964-04-15,,Switzerland,Belgium,2,0,Friendly,Geneva,Switzerland,FALSE,1341,0,0,0
1964-04-29,,Switzerland,Portugal,2,3,Friendly,Zürich,Switzerland,FALSE,1346,0,0,0
1964-05-10,,Switzerland,Italy,1,3,Friendly,Lausanne,Switzerland,FALSE,1350,0,0,0
1964-07-01,,Norway,Switzerland,3,2,Friendly,Bergen,Norway,FALSE,1355,0,0,0
1964-10-04,,Switzerland,Hungary,0,2,Friendly,Berne,Switzerland,FALSE,1357,0,0,0
1964-10-14,,Northern Ireland,Switzerland,1,0,FIFA World Cup qualification,Belfast,Northern Ireland,FALSE,1358,0,0,0
1964-11-14,,Switzerland,Northern Ireland,2,1,FIFA World Cup qualification,Lausanne,Switzerland,FALSE,1361,0,0,0
1965-03-17,,Israel,Switzerland,0,0,Friendly,Jaffa,Israel,FALSE,1361,0,0,0
1965-04-11,,Albania,Switzerland,0,2,FIFA World Cup qualification,Tirana,Albania,FALSE,1363,0,0,0
1965-05-02,,Switzerland,Albania,1,0,FIFA World Cup qualification,Geneva,Switzerland,FALSE,1364,0,0,0
1965-05-26,,Switzerland,Germany,0,1,Friendly,Basel,Switzerland,FALSE,1365,0,0,0
1965-10-17,,Netherlands,Switzerland,0,0,FIFA World Cup qualification,Amsterdam,Netherlands,FALSE,1365,0,0,0
1965-11-14,,Switzerland,Netherlands,2,1,FIFA World Cup qualification,Berne,Switzerland,FALSE,1368,0,0,0
1966-04-20,,Switzerland,Russia,2,2,Friendly,Basel,Switzerland,FALSE,1372,0,0,0
1966-06-05,,Hungary,Switzerland,3,1,Friendly,Budapest,Hungary,FALSE,1376,0,0,0
1966-06-19,,Switzerland,Mexico,1,1,Friendly,Lausanne,Switzerland,FALSE,1378,0,0,0
1966-07-12,,Germany,Switzerland,5,0,FIFA World Cup,Sheffield,England,TRUE,1383,0,0,0
1966-07-15,,Spain,Switzerland,2,1,FIFA World Cup,Sheffield,England,TRUE,1386,0,0,0
1966-07-19,,Argentina,Switzerland,2,0,FIFA World Cup,Sheffield,England,TRUE,1388,0,0,0
1966-10-22,,Belgium,Switzerland,1,0,Friendly,Bruges,Belgium,FALSE,1389,0,0,0
1966-11-02,,Romania,Switzerland,4,2,UEFA Euro qualification,Bucharest,Romania,FALSE,1395,0,0,0
1967-01-05,,Mexico,Switzerland,3,0,Friendly,Mexico City,Mexico,FALSE,1398,0,0,0
1967-01-08,,Mexico,Switzerland,0,2,Friendly,Guadalajara,Mexico,FALSE,1400,0,0,0
1967-05-03,,Switzerland,Czechoslovakia,1,2,Friendly,Basel,Switzerland,FALSE,1403,0,0,0
1967-05-24,,Switzerland,Romania,7,1,UEFA Euro qualification,Zürich,Switzerland,FALSE,1411,0,0,0
1967-10-01,,Russia,Switzerland,2,2,Friendly,Moscow,Soviet Union,FALSE,1415,0,0,0
1967-11-08,,Switzerland,Cyprus,5,0,UEFA Euro qualification,Lugano,Switzerland,FALSE,1420,0,0,0
1967-11-18,,Switzerland,Italy,2,2,UEFA Euro qualification,Berne,Switzerland,FALSE,1424,0,0,0
1967-12-23,,Italy,Switzerland,4,0,UEFA Euro qualification,Cagliari,Italy,FALSE,1428,0,0,0
1968-02-14,,Israel,Switzerland,2,1,Friendly,Jaffa,Israel,FALSE,1431,0,0,0
1968-02-17,,Cyprus,Switzerland,2,1,UEFA Euro qualification,Nicosia,Cyprus,FALSE,1434,0,0,0
1968-04-17,,Switzerland,Germany,0,0,Friendly,Basel,Switzerland,FALSE,1434,0,0,0
1968-09-22,,Switzerland,Austria,1,0,Friendly,Berne,Switzerland,FALSE,1435,0,0,0
1968-10-12,,Switzerland,Greece,1,0,FIFA World Cup qualification,Basel,Switzerland,FALSE,1436,0,0,0
1968-11-23,,Romania,Switzerland,2,0,FIFA World Cup qualification,Bucharest,Romania,FALSE,1438,0,0,0
1969-03-26,,Spain,Switzerland,1,0,Friendly,Valencia,Spain,FALSE,1439,0,0,0
1969-04-16,,Portugal,Switzerland,0,2,FIFA World Cup qualification,Lisbon,Portugal,FALSE,1441,0,0,0
1969-05-14,,Switzerland,Romania,0,1,FIFA World Cup qualification,Lausanne,Switzerland,FALSE,1442,0,0,0
1969-09-24,,Turkey,Switzerland,3,0,Friendly,Istanbul,Turkey,FALSE,1445,0,0,0
1969-10-15,,Greece,Switzerland,4,1,FIFA World Cup qualification,Salonica,Greece,FALSE,1450,0,0,0
1969-11-02,,Switzerland,Portugal,1,1,FIFA World Cup qualification,Berne,Switzerland,FALSE,1452,0,0,0
1970-04-22,,Switzerland,Spain,0,1,Friendly,Lausanne,Switzerland,FALSE,1453,0,0,0
1970-05-03,,Switzerland,France,2,1,Friendly,Basel,Switzerland,FALSE,1456,0,0,0
1970-10-17,,Switzerland,Italy,1,1,Friendly,Berne,Switzerland,FALSE,1458,0,0,0
1970-11-15,,Switzerland,Hungary,0,1,Friendly,Basel,Switzerland,FALSE,1459,0,0,0
1970-12-16,,Greece,Switzerland,0,1,UEFA Euro qualification,Piraeus,Greece,FALSE,1460,0,0,0
1970-12-20,,Malta,Switzerland,1,2,UEFA Euro qualification,Gżira,Malta,FALSE,1463,0,0,0
1971-04-21,,Switzerland,Malta,5,0,UEFA Euro qualification,Lucerne,Switzerland,FALSE,1468,0,0,0
1971-05-05,,Switzerland,Poland,2,4,Friendly,Lausanne,Switzerland,FALSE,1474,0,0,0
1971-05-12,,Switzerland,Greece,1,0,UEFA Euro qualification,Berne,Switzerland,FALSE,1475,0,0,0
1971-09-26,,Switzerland,Turkey,4,0,Friendly,Zürich,Switzerland,FALSE,1479,0,0,0
1971-10-13,,Switzerland,England,2,3,UEFA Euro qualification,Basel,Switzerland,FALSE,1484,0,0,0
1971-11-10,,England,Switzerland,1,1,UEFA Euro qualification,London,England,FALSE,1486,0,0,0
1972-04-26,,Switzerland,Sweden,1,1,Friendly,Geneva,Switzerland,FALSE,1488,0,0,0
1972-05-10,,Poland,Switzerland,0,0,Friendly,Poznań,Poland,FALSE,1488,0,0,0
1972-10-04,,Denmark,Switzerland,1,1,Friendly,Copenhagen,Denmark,FALSE,1490,0,0,0
1972-10-21,,Switzerland,Italy,0,0,FIFA World Cup qualification,Berne,Switzerland,FALSE,1490,0,0,0
1972-11-15,,Germany,Switzerland,5,1,Friendly,Düsseldorf,Germany,FALSE,1496,0,0,0
1973-04-08,,Luxembourg,Switzerland,0,1,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE,1497,0,0,0
1973-05-09,,Switzerland,Turkey,0,0,FIFA World Cup qualification,Basel,Switzerland,FALSE,1497,0,0,0
1973-06-22,,Switzerland,Scotland,1,0,Friendly,Berne,Switzerland,FALSE,1498,0,0,0
1973-09-26,,Switzerland,Luxembourg,1,0,FIFA World Cup qualification,Lucerne,Switzerland,FALSE,1499,0,0,0
1973-10-20,,Italy,Switzerland,2,0,FIFA World Cup qualification,Rome,Italy,FALSE,1501,0,0,0
1973-11-18,,Turkey,Switzerland,2,0,FIFA World Cup qualification,Izmir,Turkey,FALSE,1503,0,0,0
1974-05-01,,Switzerland,Belgium,0,1,Friendly,Geneva,Switzerland,FALSE,1504,0,0,0
1974-06-09,,Sweden,Switzerland,0,0,Friendly,Malmö,Sweden,FALSE,1504,0,0,0
1974-09-04,,Switzerland,Germany,1,2,Friendly,Basel,Switzerland,FALSE,1507,0,0,0
1974-10-09,,Netherlands,Switzerland,1,0,Friendly,Rotterdam,Netherlands,FALSE,1508,0,0,0
1974-11-13,,Switzerland,Portugal,3,0,Friendly,Berne,Switzerland,FALSE,1511,0,0,0
1974-12-01,,Turkey,Switzerland,2,1,UEFA Euro qualification,Izmir,Turkey,FALSE,1514,0,0,0
1974-12-04,,Hungary,Switzerland,1,0,Friendly,Szolnok,Hungary,FALSE,1515,0,0,0
1975-04-30,,Switzerland,Turkey,1,1,UEFA Euro qualification,Basel,Switzerland,FALSE,1517,0,0,0
1975-05-10,,Republic of Ireland,Switzerland,2,1,UEFA Euro qualification,Dublin,Republic of Ireland,FALSE,1520,0,0,0
1975-05-21,,Switzerland,Republic of Ireland,1,0,UEFA Euro qualification,Berne,Switzerland,FALSE,1521,0,0,0
1975-09-03,,Switzerland,England,1,2,Friendly,Basel,Switzerland,FALSE,1524,0,0,0
1975-09-24,,Czechoslovakia,Switzerland,1,1,Friendly,Brno,Czechoslovakia,FALSE,1526,0,0,0
1975-10-12,,Switzerland,Russia,0,1,UEFA Euro qualification,Zürich,Switzerland,FALSE,1527,0,0,0
1975-11-12,,Russia,Switzerland,4,1,UEFA Euro qualification,Kyiv,Soviet Union,FALSE,1532,0,0,0
1976-04-07,,Scotland,Switzerland,1,0,Friendly,Glasgow,Scotland,FALSE,1533,0,0,0
1976-04-30,,Switzerland,Hungary,0,1,Friendly,Lausanne,Switzerland,FALSE,1534,0,0,0
1976-05-11,,Switzerland,Poland,2,1,Friendly,Basel,Switzerland,FALSE,1537,0,0,0
1976-05-19,,Finland,Switzerland,1,0,Friendly,Kuopio,Finland,FALSE,1538,0,0,0
1976-08-17,,Switzerland,Bulgaria,2,2,Friendly,Lucerne,Switzerland,FALSE,1542,0,0,0
1976-09-08,,Norway,Switzerland,1,0,FIFA World Cup qualification,Oslo,Norway,FALSE,1543,0,0,0
1976-09-22,,Austria,Switzerland,3,1,Friendly,Linz,Austria,FALSE,1547,0,0,0
1976-10-09,,Switzerland,Sweden,1,2,FIFA World Cup qualification,Basel,Switzerland,FALSE,1550,0,0,0
1977-03-30,,Portugal,Switzerland,1,0,Friendly,Funchal,Portugal,FALSE,1551,0,0,0
1977-04-23,,Switzerland,France,0,4,Friendly,Geneva,Switzerland,FALSE,1555,0,0,0
1977-05-24,,Switzerland,Czechoslovakia,1,0,Friendly,Basel,Switzerland,FALSE,1556,0,0,0
1977-06-08,,Sweden,Switzerland,2,1,FIFA World Cup qualification,Solna,Sweden,FALSE,1559,0,0,0
1977-09-07,,England,Switzerland,0,0,Friendly,London,England,FALSE,1559,0,0,0
1977-09-21,,Switzerland,Spain,1,2,Friendly,Berne,Switzerland,FALSE,1562,0,0,0
1977-10-05,,Switzerland,Finland,2,0,Friendly,Zürich,Switzerland,FALSE,1564,0,0,0
1977-10-30,,Switzerland,Norway,1,0,FIFA World Cup qualification,Berne,Switzerland,FALSE,1565,0,0,0
1977-11-16,,Germany,Switzerland,4,1,Friendly,Stuttgart,Germany,FALSE,1570,0,0,0
1978-03-08,,German DR,Switzerland,3,1,Friendly,Karl-Marx-Stadt,German DR,FALSE,1574,0,0,0
1978-04-04,,Switzerland,Austria,0,1,Friendly,Basel,Switzerland,FALSE,1575,0,0,0
1978-09-06,,Switzerland,United States,2,0,Friendly,Lucerne,Switzerland,FALSE,1577,0,0,0
1978-10-11,,Switzerland,Netherlands,1,3,UEFA Euro qualification,Berne,Switzerland,FALSE,1581,0,0,0
1978-11-15,,Poland,Switzerland,2,0,UEFA Euro qualification,Wrocław,Poland,FALSE,1583,0,0,0
1979-03-28,,Netherlands,Switzerland,3,0,UEFA Euro qualification,Eindhoven,Netherlands,FALSE,1586,0,0,0
1979-05-05,,Switzerland,German DR,0,2,UEFA Euro qualification,St. Gallen,Switzerland,FALSE,1588,0,0,0
1979-05-22,,Argentina,Netherlands,0,0,FIFA 75th Anniversary Cup,Berne,Switzerland,TRUE,1588,0,0,0
1979-05-22,,Switzerland,Iceland,2,0,UEFA Euro qualification,Berne,Switzerland,FALSE,1590,0,0,0
1979-06-09,,Iceland,Switzerland,1,2,UEFA Euro qualification,Reykjavík,Iceland,FALSE,1593,0,0,0
1979-09-12,,Switzerland,Poland,0,2,UEFA Euro qualification,Lausanne,Switzerland,FALSE,1595,0,0,0
1979-10-13,,German DR,Switzerland,5,2,UEFA Euro qualification,Berlin,German DR,FALSE,1602,0,0,0
1979-11-17,,Italy,Switzerland,2,0,Friendly,Udine,Italy,FALSE,1604,0,0,0
1980-03-26,,Switzerland,Czechoslovakia,2,0,Friendly,Basel,Switzerland,FALSE,1606,0,0,0
1980-04-01,,Switzerland,Greece,2,0,Friendly,Zürich,Switzerland,FALSE,1608,0,0,0
1980-04-30,,Republic of Ireland,Switzerland,2,0,Friendly,Dublin,Republic of Ireland,FALSE,1610,0,0,0
1980-08-27,,Switzerland,Denmark,1,1,Friendly,Lausanne,Switzerland,FALSE,1612,0,0,0
1980-09-10,,Switzerland,Germany,2,3,Friendly,Berne,Switzerland,FALSE,1617,0,0,0
1980-10-29,,Switzerland,Norway,1,2,FIFA World Cup qualification,Berne,Switzerland,FALSE,1620,0,0,0
1980-11-19,,England,Switzerland,2,1,FIFA World Cup qualification,London,England,FALSE,1623,0,0,0
1980-12-16,,Argentina,Switzerland,5,0,Friendly,Córdoba,Argentina,FALSE,1628,0,0,0
1980-12-18,,Uruguay,Switzerland,4,0,Friendly,Montevideo,Uruguay,FALSE,1632,0,0,0
1980-12-21,,Brazil,Switzerland,2,0,Friendly,Cuiabá,Brazil,FALSE,1634,0,0,0
1981-03-24,,Czechoslovakia,Switzerland,0,1,Friendly,Bratislava,Czechoslovakia,FALSE,1635,0,0,0
1981-04-28,,Switzerland,Hungary,2,2,FIFA World Cup qualification,Lucerne,Switzerland,FALSE,1639,0,0,0
1981-05-30,,Switzerland,England,2,1,FIFA World Cup qualification,Basel,Switzerland,FALSE,1642,0,0,0
1981-06-17,,Norway,Switzerland,1,1,FIFA World Cup qualification,Oslo,Norway,FALSE,1644,0,0,0
1981-09-01,,Switzerland,Netherlands,2,1,Friendly,Zürich,Switzerland,FALSE,1647,0,0,0
1981-10-10,,Romania,Switzerland,1,2,FIFA World Cup qualification,Bucharest,Romania,FALSE,1650,0,0,0
1981-10-14,,Hungary,Switzerland,3,0,FIFA World Cup qualification,Budapest,Hungary,FALSE,1653,0,0,0
1981-11-11,,Switzerland,Romania,0,0,FIFA World Cup qualification,Berne,Switzerland,FALSE,1653,0,0,0
1982-03-09,,Liechtenstein,Switzerland,0,1,Friendly,Balzers,Liechtenstein,FALSE,1654,0,0,0
1982-03-24,,Switzerland,Portugal,2,1,Friendly,Lugano,Switzerland,FALSE,1657,0,0,0
1982-04-28,,Spain,Switzerland,2,0,Friendly,Valencia,Spain,FALSE,1659,0,0,0
1982-05-19,,Brazil,Switzerland,1,1,Friendly,Recife,Brazil,FALSE,1661,0,0,0
1982-05-28,,Switzerland,Italy,1,1,Friendly,Geneva,Switzerland,FALSE,1663,0,0,0
1982-09-07,,Switzerland,Bulgaria,3,2,Friendly,St. Gallen,Switzerland,FALSE,1668,0,0,0
1982-10-06,,Belgium,Switzerland,3,0,UEFA Euro qualification,Brussels,Belgium,FALSE,1671,0,0,0
1982-10-27,,Italy,Switzerland,0,1,Friendly,Rome,Italy,FALSE,1672,0,0,0
1982-11-17,,Switzerland,Scotland,2,0,UEFA Euro qualification,Berne,Switzerland,FALSE,1674,0,0,0
1982-12-01,,Greece,Switzerland,1,3,Friendly,Athens,Greece,FALSE,1678,0,0,0
1983-03-30,,Scotland,Switzerland,2,2,UEFA Euro qualification,Glasgow,Scotland,FALSE,1682,0,0,0
1983-04-13,,Switzerland,Russia,0,1,Friendly,Lausanne,Switzerland,FALSE,1683,0,0,0
1983-05-14,,Switzerland,German DR,0,0,UEFA Euro qualification,Berne,Switzerland,FALSE,1683,0,0,0
1983-06-17,,Switzerland,Brazil,1,2,Friendly,Basel,Switzerland,FALSE,1686,0,0,0
1983-09-07,,Switzerland,Czechoslovakia,0,0,Friendly,Neuchâtel,Switzerland,FALSE,1686,0,0,0
1983-10-12,,German DR,Switzerland,3,0,UEFA Euro qualification,Berlin,German DR,FALSE,1689,0,0,0
1983-10-26,,Switzerland,Yugoslavia,2,0,Friendly,Basel,Switzerland,FALSE,1691,0,0,0
1983-11-09,,Switzerland,Belgium,3,1,UEFA Euro qualification,Berne,Switzerland,FALSE,1695,0,0,0
1983-11-30,,Algeria,Switzerland,1,2,Friendly,Algiers,Algeria,FALSE,1698,0,0,0
1983-12-02,,Ivory Coast,Switzerland,1,0,Friendly,Abidjan,Ivory Coast,FALSE,1699,0,0,0
1983-12-04,,Zimbabwe,Switzerland,3,2,Friendly,Harare,Zimbabwe,FALSE,1704,0,0,0
1983-12-06,,Kenya,Switzerland,0,0,Friendly,Mombasa,Kenya,FALSE,1704,0,0,0
1984-03-27,,Switzerland,Poland,1,1,Friendly,Zürich,Switzerland,FALSE,1706,0,0,0
1984-05-02,,Switzerland,Sweden,0,0,Friendly,Berne,Switzerland,FALSE,1706,0,0,0
1984-05-22,,Germany,Italy,1,0,Friendly,Zürich,Switzerland,TRUE,1707,0,0,0
1984-05-26,,Switzerland,Spain,0,4,Friendly,Geneva,Switzerland,FALSE,1711,0,0,0
1984-08-22,,Hungary,Switzerland,3,0,Friendly,Budapest,Hungary,FALSE,1714,0,0,0
1984-09-01,,Switzerland,Argentina,0,2,Friendly,Berne,Switzerland,FALSE,1716,0,0,0
