date;home_team;away_team;home_score;away_score;tournament;city;country;neutral;goals;victory;defeat;egality
12.02.05;France;Switzerland;1;0;Friendly;Paris;France;FALSE;1;0;0;0
08.03.08;Switzerland;France;1;2;Friendly;Geneva;Switzerland;FALSE;4;0;0;0
05.04.08;Switzerland;Germany;5;3;Friendly;Basel;Switzerland;FALSE;12;0;0;0
04.04.09;Germany;Switzerland;1;0;Friendly;Karlsruhe;Germany;FALSE;13;0;0;0
03.04.10;Switzerland;Germany;2;3;Friendly;Basel;Switzerland;FALSE;18;0;0;0
08.01.11;Switzerland;Hungary;2;0;Friendly;Zurich;Switzerland;FALSE;20;0;0;0
26.03.11;Germany;Switzerland;6;2;Friendly;Stuttgart;Germany;FALSE;28;0;0;0
23.04.11;Switzerland;France;5;2;Friendly;Geneva;Switzerland;FALSE;35;0;0;0
07.05.11;Italy;Switzerland;2;2;Friendly;Milan;Italy;FALSE;39;0;0;0
21.05.11;Switzerland;Italy;3;0;Friendly;La Chaux-de-Fonds;Switzerland;FALSE;42;0;0;0
29.10.11;Hungary;Switzerland;9;0;Friendly;Budapest;Hungary;FALSE;51;0;0;0
18.02.12;France;Switzerland;4;1;Friendly;Saint-Ouen;France;FALSE;56;0;0;0
20.02.12;Belgium;Switzerland;9;2;Friendly;Antwerp;Belgium;FALSE;67;0;0;0
05.05.12;Switzerland;Germany;1;2;Friendly;St. Gallen;Switzerland;FALSE;70;0;0;0
09.03.13;Switzerland;France;1;4;Friendly;Geneva;Switzerland;FALSE;75;0;0;0
04.05.13;Switzerland;Belgium;1;2;Friendly;Basel;Switzerland;FALSE;78;0;0;0
18.05.13;Germany;Switzerland;1;2;Friendly;Freiburg;Germany;FALSE;81;0;0;0
02.11.13;Belgium;Switzerland;2;0;Friendly;Verviers;Belgium;FALSE;83;0;0;0
08.03.14;France;Switzerland;2;2;Friendly;Saint-Ouen;France;FALSE;87;0;0;0
05.04.14;Italy;Switzerland;1;1;Friendly;Genoa;Italy;FALSE;89;0;0;0
17.05.14;Switzerland;Italy;0;1;Friendly;Berne;Switzerland;FALSE;90;0;0;0
31.01.15;Italy;Switzerland;3;1;Friendly;Turin;Italy;FALSE;94;0;0;0
23.12.17;Switzerland;Austria;0;1;Friendly;Basel;Switzerland;FALSE;95;0;0;0
26.12.17;Switzerland;Austria;3;2;Friendly;Zurich;Switzerland;FALSE;100;0;0;0
09.05.18;Austria;Switzerland;5;1;Friendly;Vienna;Austria;FALSE;106;0;0;0
12.05.18;Hungary;Switzerland;2;1;Friendly;Budapest;Hungary;FALSE;109;0;0;0
29.02.20;Switzerland;France;0;2;Friendly;Geneva;Switzerland;FALSE;111;0;0;0
28.03.20;Switzerland;Italy;3;0;Friendly;Berne;Switzerland;FALSE;114;0;0;0
16.05.20;Switzerland;Netherlands;2;1;Friendly;Basel;Switzerland;FALSE;117;0;0;0
06.06.20;Sweden;Switzerland;0;1;Friendly;Stockholm;Sweden;FALSE;118;0;0;0
27.06.20;Switzerland;Germany;4;1;Friendly;Zurich;Switzerland;FALSE;123;0;0;0
06.03.21;Italy;Switzerland;2;1;Friendly;Milan;Italy;FALSE;126;0;0;0
01.05.21;Switzerland;Austria;2;2;Friendly;St. Gallen;Switzerland;FALSE;130;0;0;0
06.11.21;Switzerland;Italy;1;1;Friendly;Geneva;Switzerland;FALSE;132;0;0;0
26.03.22;Germany;Switzerland;2;2;Friendly;Frankfurt am Main;Germany;FALSE;136;0;0;0
11.06.22;Austria;Switzerland;7;1;Friendly;Vienna;Austria;FALSE;144;0;0;0
15.06.22;Hungary;Switzerland;1;1;Friendly;Budapest;Hungary;FALSE;146;0;0;0
19.11.22;Switzerland;Netherlands;5;0;Friendly;Berne;Switzerland;FALSE;151;0;0;0
03.12.22;Italy;Switzerland;2;2;Friendly;Bologna;Italy;FALSE;155;0;0;0
21.01.23;Switzerland;Austria;2;0;Friendly;Geneva;Switzerland;FALSE;157;0;0;0
11.03.23;Switzerland;Hungary;1;6;Friendly;Lausanne;Switzerland;FALSE;164;0;0;0
22.04.23;France;Switzerland;2;2;Friendly;Vincennes;France;FALSE;168;0;0;0
03.06.23;Switzerland;Germany;1;2;Friendly;Basel;Switzerland;FALSE;171;0;0;0
17.06.23;Denmark;Switzerland;3;2;Friendly;Copenhagen;Denmark;FALSE;176;0;0;0
21.06.23;Norway;Switzerland;2;2;Friendly;Kristiania;Norway;FALSE;180;0;0;0
25.11.23;Netherlands;Switzerland;4;1;Friendly;Amsterdam;Netherlands;FALSE;185;0;0;0
23.03.24;Switzerland;France;3;0;Friendly;Geneva;Switzerland;FALSE;188;0;0;0
21.04.24;Switzerland;Denmark;2;0;Friendly;Basel;Switzerland;FALSE;190;0;0;0
18.05.24;Switzerland;Hungary;4;2;Friendly;Zurich;Switzerland;FALSE;196;0;0;0
14.12.24;Germany;Switzerland;1;1;Friendly;Stuttgart;Germany;FALSE;198;0;0;0
22.03.25;Austria;Switzerland;2;0;Friendly;Vienna;Austria;FALSE;200;0;0;0
25.03.25;Hungary;Switzerland;5;0;Friendly;Budapest;Hungary;FALSE;205;0;0;0
19.04.25;Switzerland;Netherlands;4;1;Friendly;Zurich;Switzerland;FALSE;210;0;0;0
24.05.25;Switzerland;Belgium;0;0;Friendly;Lausanne;Switzerland;FALSE;210;0;0;0
01.06.25;Switzerland;Spain;0;3;Friendly;Berne;Switzerland;FALSE;213;0;0;0
25.10.25;Switzerland;Germany;0;4;Friendly;Basel;Switzerland;FALSE;217;0;0;0
08.11.25;Switzerland;Austria;2;0;Friendly;Berne;Switzerland;FALSE;219;0;0;0
28.03.26;Netherlands;Switzerland;5;0;Friendly;Amsterdam;Netherlands;FALSE;224;0;0;0
18.04.26;Switzerland;Italy;1;1;Friendly;Zurich;Switzerland;FALSE;226;0;0;0
25.04.26;France;Switzerland;1;0;Friendly;Colombes;France;FALSE;227;0;0;0
09.05.26;Italy;Switzerland;3;2;Friendly;Milan;Italy;FALSE;232;0;0;0
10.10.26;Austria;Switzerland;7;1;Friendly;Vienna;Austria;FALSE;240;0;0;0
12.12.26;Germany;Switzerland;2;3;Friendly;Munich;Germany;FALSE;245;0;0;0
30.01.27;Switzerland;Italy;1;5;Friendly;Geneva;Switzerland;FALSE;251;0;0;0
17.04.27;Spain;Switzerland;1;0;Friendly;Santander;Spain;FALSE;252;0;0;0
29.05.27;Switzerland;Austria;1;4;Friendly;Zurich;Switzerland;FALSE;257;0;0;0
06.11.27;Switzerland;Sweden;2;2;Friendly;Zurich;Switzerland;FALSE;261;0;0;0
01.01.28;Italy;Switzerland;3;2;International Cup;Genoa;Italy;FALSE;266;0;0;0
11.03.28;Switzerland;France;4;3;Friendly;Lausanne;Switzerland;FALSE;273;0;0;0
15.04.28;Switzerland;Germany;2;3;Friendly;Berne;Switzerland;FALSE;278;0;0;0
06.05.28;Switzerland;Netherlands;2;1;Friendly;Basel;Switzerland;FALSE;281;0;0;0
17.08.28;Belarus;Switzerland;6;3;Friendly;Moscow;Soviet Union;TRUE;290;0;0;0
14.10.28;Switzerland;Italy;2;3;International Cup;Zurich;Switzerland;FALSE;295;0;0;0
28.10.28;Austria;Switzerland;2;0;International Cup;Vienna;Austria;FALSE;297;0;0;0
01.11.28;Hungary;Switzerland;3;1;International Cup;Budapest;Hungary;FALSE;301;0;0;0
10.02.29;Germany;Switzerland;7;1;Friendly;Mannheim;Germany;FALSE;309;0;0;0
17.03.29;Netherlands;Switzerland;3;2;Friendly;Amsterdam;Netherlands;FALSE;314;0;0;0
14.04.29;Switzerland;Hungary;4;5;International Cup;Berne;Switzerland;FALSE;323;0;0;0
05.05.29;Switzerland;Czechoslovakia;1;4;International Cup;Lausanne;Switzerland;FALSE;328;0;0;0
06.10.29;Czechoslovakia;Switzerland;5;0;International Cup;Prague;Czechoslovakia;FALSE;333;0;0;0
27.10.29;Switzerland;Austria;1;3;International Cup;Berne;Switzerland;FALSE;337;0;0;0
09.02.30;Italy;Switzerland;4;2;Friendly;Rome;Italy;FALSE;343;0;0;0
23.03.30;France;Switzerland;3;3;Friendly;Colombes;France;FALSE;349;0;0;0
13.04.30;Switzerland;Hungary;2;2;Friendly;Basel;Switzerland;FALSE;353;0;0;0
04.05.30;Switzerland;Germany;0;5;Friendly;Zurich;Switzerland;FALSE;358;0;0;0
15.06.30;Sweden;Switzerland;1;0;Friendly;Stockholm;Sweden;FALSE;359;0;0;0
19.06.30;Norway;Switzerland;3;0;Friendly;Oslo;Norway;FALSE;362;0;0;0
02.11.30;Switzerland;Netherlands;6;3;Friendly;Zurich;Switzerland;FALSE;371;0;0;0
29.03.31;Switzerland;Italy;1;1;International Cup;Berne;Switzerland;FALSE;373;0;0;0
12.04.31;Hungary;Switzerland;6;2;International Cup;Budapest;Hungary;FALSE;381;0;0;0
24.05.31;Switzerland;Scotland;2;3;Friendly;Geneva;Switzerland;FALSE;386;0;0;0
13.06.31;Czechoslovakia;Switzerland;7;3;International Cup;Prague;Czechoslovakia;FALSE;396;0;0;0
16.06.31;Austria;Switzerland;2;0;Friendly;Vienna;Austria;FALSE;398;0;0;0
29.11.31;Switzerland;Austria;1;8;International Cup;Basel;Switzerland;FALSE;407;0;0;0
06.12.31;Belgium;Switzerland;2;1;Friendly;Brussels;Belgium;FALSE;410;0;0;0
14.02.32;Italy;Switzerland;3;0;International Cup;Naples;Italy;FALSE;413;0;0;0
06.03.32;Germany;Switzerland;2;0;Friendly;Leipzig;Germany;FALSE;415;0;0;0
20.03.32;Switzerland;France;3;3;Friendly;Berne;Switzerland;FALSE;421;0;0;0
17.04.32;Switzerland;Czechoslovakia;5;1;International Cup;Zurich;Switzerland;FALSE;427;0;0;0
19.06.32;Switzerland;Hungary;3;1;International Cup;Berne;Switzerland;FALSE;431;0;0;0
23.10.32;Austria;Switzerland;3;1;International Cup;Vienna;Austria;FALSE;435;0;0;0
06.11.32;Switzerland;Sweden;2;1;Friendly;Basel;Switzerland;FALSE;438;0;0;0
22.01.33;Netherlands;Switzerland;0;2;Friendly;Amsterdam;Netherlands;FALSE;440;0;0;0
12.03.33;Switzerland;Belgium;3;3;Friendly;Zurich;Switzerland;FALSE;446;0;0;0
02.04.33;Switzerland;Italy;0;3;International Cup;Geneva;Switzerland;FALSE;449;0;0;0
20.05.33;Switzerland;England;0;4;Friendly;Berne;Switzerland;FALSE;458;0;0;0
17.09.33;Hungary;Switzerland;3;0;International Cup;Budapest;Hungary;FALSE;461;0;0;0
29.10.33;Switzerland;Romania;2;2;FIFA World Cup qualification;Berne;Switzerland;FALSE;469;0;0;0
19.11.33;Switzerland;Germany;0;2;Friendly;Zurich;Switzerland;FALSE;471;0;0;0
03.12.33;Italy;Switzerland;5;2;International Cup;Florence;Italy;FALSE;478;0;0;0
11.03.34;France;Switzerland;0;1;Friendly;Paris;France;FALSE;479;0;0;0
25.03.34;Switzerland;Austria;2;3;International Cup;Geneva;Switzerland;FALSE;484;0;0;0
27.05.34;Netherlands;Switzerland;2;3;FIFA World Cup;Milan;Italy;TRUE;489;0;0;0
31.05.34;Czechoslovakia;Switzerland;3;2;FIFA World Cup;Turin;Italy;TRUE;494;0;0;0
14.10.34;Switzerland;Czechoslovakia;2;2;International Cup;Geneva;Switzerland;FALSE;498;0;0;0
04.11.34;Switzerland;Netherlands;2;4;Friendly;Berne;Switzerland;FALSE;504;0;0;0
11.11.34;Austria;Switzerland;3;0;International Cup;Vienna;Austria;FALSE;507;0;0;0
27.01.35;Germany;Switzerland;4;0;Friendly;Stuttgart;Germany;FALSE;511;0;0;0
17.03.35;Czechoslovakia;Switzerland;3;1;International Cup;Prague;Czechoslovakia;FALSE;515;0;0;0
14.04.35;Switzerland;Hungary;6;2;International Cup;Zurich;Switzerland;FALSE;523;0;0;0
05.05.35;Switzerland;Republic of Ireland;1;0;Friendly;Basel;Switzerland;FALSE;524;0;0;0
30.05.35;Belgium;Switzerland;2;2;Friendly;Brussels;Belgium;FALSE;528;0;0;0
27.10.35;Switzerland;France;2;1;Friendly;Geneva;Switzerland;FALSE;531;0;0;0
03.11.35;Switzerland;Norway;2;0;Friendly;Zurich;Switzerland;FALSE;533;0;0;0
10.11.35;Hungary;Switzerland;6;1;Friendly;Budapest;Hungary;FALSE;540;0;0;0
17.03.36;Republic of Ireland;Switzerland;1;0;Friendly;Dublin;Irish Free State;FALSE;541;0;0;0
05.04.36;Switzerland;Italy;1;2;Friendly;Zurich;Switzerland;FALSE;544;0;0;0
03.05.36;Switzerland;Spain;0;2;Friendly;Berne;Switzerland;FALSE;546;0;0;0
24.05.36;Switzerland;Belgium;1;1;Friendly;Basel;Switzerland;FALSE;548;0;0;0
18.06.36;Norway;Switzerland;1;2;Friendly;Oslo;Norway;FALSE;551;0;0;0
21.06.36;Sweden;Switzerland;5;2;Friendly;Stockholm;Sweden;FALSE;558;0;0;0
25.10.36;Italy;Switzerland;4;2;International Cup;Milan;Italy;FALSE;564;0;0;0
08.11.36;Switzerland;Austria;1;3;International Cup;Zurich;Switzerland;FALSE;568;0;0;0
21.02.37;Czechoslovakia;Switzerland;5;3;International Cup;Prague;Czechoslovakia;FALSE;576;0;0;0
07.03.37;Netherlands;Switzerland;2;1;Friendly;Amsterdam;Netherlands;FALSE;579;0;0;0
11.04.37;Switzerland;Hungary;1;5;International Cup;Basel;Switzerland;FALSE;585;0;0;0
18.04.37;Belgium;Switzerland;1;2;Friendly;Brussels;Belgium;FALSE;588;0;0;0
02.05.37;Switzerland;Germany;0;1;Friendly;Zurich;Switzerland;FALSE;589;0;0;0
17.05.37;Switzerland;Republic of Ireland;0;1;Friendly;Berne;Switzerland;FALSE;590;0;0;0
19.09.37;Austria;Switzerland;4;3;International Cup;Vienna;Austria;FALSE;597;0;0;0
10.10.37;France;Switzerland;2;1;Friendly;Paris;France;FALSE;600;0;0;0
31.10.37;Switzerland;Italy;2;2;International Cup;Geneva;Switzerland;FALSE;604;0;0;0
14.11.37;Hungary;Switzerland;2;0;International Cup;Budapest;Hungary;FALSE;606;0;0;0
06.02.38;Germany;Switzerland;1;1;Friendly;Cologne;Germany;FALSE;608;0;0;0
13.03.38;Switzerland;Poland;3;3;Friendly;Zurich;Switzerland;FALSE;614;0;0;0
03.04.38;Switzerland;Czechoslovakia;4;0;International Cup;Basel;Switzerland;FALSE;618;0;0;0
01.05.38;Switzerland;Portugal;2;1;FIFA World Cup qualification;Milan;Italy;TRUE;621;0;0;0
08.05.38;Switzerland;Belgium;0;3;Friendly;Lausanne;Switzerland;FALSE;624;0;0;0
21.05.38;Switzerland;England;2;1;Friendly;Zurich;Switzerland;FALSE;627;0;0;0
04.06.38;Germany;Switzerland;1;1;FIFA World Cup;Paris;France;TRUE;629;0;0;0
09.06.38;Germany;Switzerland;2;4;FIFA World Cup;Paris;France;TRUE;635;0;0;0
12.06.38;Hungary;Switzerland;2;0;FIFA World Cup;Lille;France;TRUE;637;0;0;0
18.09.38;Republic of Ireland;Switzerland;4;0;Friendly;Dublin;Éire;FALSE;641;0;0;0
06.11.38;Switzerland;Portugal;1;0;Friendly;Lausanne;Switzerland;FALSE;642;0;0;0
20.11.38;Italy;Switzerland;2;0;Friendly;Bologna;Italy;FALSE;644;0;0;0
12.02.39;Portugal;Switzerland;2;4;Friendly;Lisbon;Portugal;FALSE;650;0;0;0
02.04.39;Switzerland;Hungary;3;1;Friendly;Zurich;Switzerland;FALSE;654;0;0;0
07.05.39;Switzerland;Netherlands;2;1;Friendly;Berne;Switzerland;FALSE;657;0;0;0
14.05.39;Belgium;Switzerland;1;2;Friendly;Liège;Belgium;FALSE;660;0;0;0
04.06.39;Poland;Switzerland;1;1;Friendly;Warsaw;Poland;FALSE;662;0;0;0
12.11.39;Switzerland;Italy;3;1;Friendly;Zurich;Switzerland;FALSE;666;0;0;0
03.03.40;Italy;Switzerland;1;1;Friendly;Turin;Italy;FALSE;668;0;0;0
31.03.40;Hungary;Switzerland;3;0;Friendly;Budapest;Hungary;FALSE;671;0;0;0
02.04.40;Croatia;Switzerland;4;0;Friendly;Zagreb;Croatia;FALSE;675;0;0;0
21.04.40;Switzerland;Croatia;0;1;Friendly;Berne;Switzerland;FALSE;676;0;0;0
09.03.41;Germany;Switzerland;4;2;Friendly;Stuttgart;Germany;FALSE;682;0;0;0
20.04.41;Switzerland;Germany;2;1;Friendly;Berne;Switzerland;FALSE;685;0;0;0
16.11.41;Switzerland;Hungary;1;2;Friendly;Zurich;Switzerland;FALSE;688;0;0;0
28.12.41;Spain;Switzerland;3;2;Friendly;Valencia;Spain;FALSE;693;0;0;0
01.01.42;Portugal;Switzerland;3;0;Friendly;Lisbon;Portugal;FALSE;696;0;0;0
01.02.42;Germany;Switzerland;1;2;Friendly;Vienna;Germany;FALSE;699;0;0;0
08.03.42;France;Switzerland;0;2;Friendly;Marseille;France;FALSE;701;0;0;0
18.10.42;Switzerland;Germany;3;5;Friendly;Berne;Switzerland;FALSE;709;0;0;0
01.11.42;Hungary;Switzerland;3;0;Friendly;Budapest;Hungary;FALSE;712;0;0;0
15.11.42;Switzerland;Sweden;3;1;Friendly;Zurich;Switzerland;FALSE;716;0;0;0
04.04.43;Switzerland;Croatia;1;0;Friendly;Zurich;Switzerland;FALSE;717;0;0;0
16.05.43;Switzerland;Hungary;1;3;Friendly;Geneva;Switzerland;FALSE;721;0;0;0
14.06.43;Sweden;Switzerland;1;0;Friendly;Solna;Sweden;FALSE;722;0;0;0
08.04.45;Switzerland;France;1;0;Friendly;Lausanne;Switzerland;FALSE;723;0;0;0
21.05.45;Switzerland;Portugal;1;0;Friendly;Basel;Switzerland;FALSE;724;0;0;0
21.07.45;Switzerland;England;3;1;Friendly;Berne;Switzerland;FALSE;728;0;0;0
11.11.45;Switzerland;Italy;4;4;Friendly;Zurich;Switzerland;FALSE;736;0;0;0
25.11.45;Switzerland;Sweden;3;0;Friendly;Geneva;Switzerland;FALSE;739;0;0;0
11.05.46;England;Switzerland;4;1;Friendly;London;England;FALSE;744;0;0;0
15.05.46;Scotland;Switzerland;3;1;Friendly;Glasgow;Scotland;FALSE;748;0;0;0
07.07.46;Sweden;Switzerland;7;2;Friendly;Solna;Sweden;FALSE;757;0;0;0
14.09.46;Czechoslovakia;Switzerland;3;2;Friendly;Prague;Czechoslovakia;FALSE;762;0;0;0
10.11.46;Switzerland;Austria;1;0;Friendly;Berne;Switzerland;FALSE;763;0;0;0
05.01.47;Portugal;Switzerland;2;2;Friendly;Lisbon;Portugal;FALSE;767;0;0;0
27.04.47;Italy;Switzerland;5;2;Friendly;Florence;Italy;FALSE;774;0;0;0
18.05.47;Switzerland;England;1;0;Friendly;Zurich;Switzerland;FALSE;775;0;0;0
08.06.47;Switzerland;France;1;2;Friendly;Lausanne;Switzerland;FALSE;778;0;0;0
21.09.47;Netherlands;Switzerland;6;2;Friendly;Amsterdam;Netherlands;FALSE;786;0;0;0
02.11.47;Switzerland;Belgium;4;0;Friendly;Geneva;Switzerland;FALSE;790;0;0;0
18.04.48;Austria;Switzerland;3;1;Friendly;Vienna;Austria;FALSE;794;0;0;0
21.04.48;Hungary;Switzerland;7;4;International Cup;Budapest;Hungary;FALSE;805;0;0;0
17.05.48;Switzerland;Scotland;2;1;Friendly;Berne;Switzerland;FALSE;808;0;0;0
20.06.48;Switzerland;Spain;3;3;Friendly;Zurich;Switzerland;FALSE;814;0;0;0
10.10.48;Switzerland;Czechoslovakia;1;1;International Cup;Basel;Switzerland;FALSE;816;0;0;0
02.12.48;England;Switzerland;6;0;Friendly;London;England;FALSE;822;0;0;0
05.12.48;Republic of Ireland;Switzerland;0;1;Friendly;Dublin;Éire;FALSE;823;0;0;0
03.04.49;Switzerland;Austria;1;2;International Cup;Lausanne;Switzerland;FALSE;826;0;0;0
26.05.49;Switzerland;Wales;4;0;Friendly;Berne;Switzerland;FALSE;830;0;0;0
04.06.49;France;Switzerland;4;2;Friendly;Colombes;France;FALSE;836;0;0;0
26.06.49;Switzerland;Luxembourg;5;2;FIFA World Cup qualification;Zurich;Switzerland;FALSE;843;0;0;0
18.09.49;Luxembourg;Switzerland;2;3;FIFA World Cup qualification;Luxembourg;Luxembourg;FALSE;848;0;0;0
02.10.49;Belgium;Switzerland;3;0;Friendly;Brussels;Belgium;FALSE;851;0;0;0
19.03.50;Austria;Switzerland;3;3;International Cup;Vienna;Austria;FALSE;857;0;0;0
26.04.50;Scotland;Switzerland;3;1;Friendly;Glasgow;Scotland;FALSE;861;0;0;0
28.06.50;Brazil;Switzerland;2;2;FIFA World Cup;São Paulo;Brazil;FALSE;872;0;0;0
02.07.50;Mexico;Switzerland;1;2;FIFA World Cup;Porto Alegre;Brazil;TRUE;875;0;0;0
15.10.50;Switzerland;Netherlands;7;5;Friendly;Basel;Switzerland;FALSE;887;0;0;0
12.11.50;Switzerland;Sweden;4;2;Friendly;Geneva;Switzerland;FALSE;893;0;0;0
22.11.50;Germany;Switzerland;1;0;Friendly;Stuttgart;Germany;FALSE;894;0;0;0
18.02.51;Spain;Switzerland;6;3;Friendly;Madrid;Spain;FALSE;903;0;0;0
15.04.51;Switzerland;Germany;2;3;Friendly;Zurich;Switzerland;FALSE;908;0;0;0
